month,base_payment,cost,revenue,adjustment,margin,wmvi,employer_exposure,regime,event,cap_hit,project
2022-07-01,0.03274285992952861,0.04322198153668477,0.03334849080155564,0.0006056308720270266,-0.00987349073512913,2.0246570967931357,0.006007423870366081,FIDIC 13.8,True,False,road
2022-08-01,0.02692114837541319,0.035775168532402646,0.027064006162424922,0.0001428577870117338,-0.008711162369977724,1.846293002923112,0.006150281657377815,FIDIC 13.8,True,False,road
2022-09-01,0.021839018090322383,0.02897146894022855,0.021808944957829902,-3.007313249248206e-05,-0.007162523982398649,0.33071541717846953,0.006120208524885333,FIDIC 13.8,True,False,road
2022-10-01,0.017523916760467162,0.02341264172973813,0.017623248043385005,9.933128291784356e-05,-0.005789393686353124,1.4798907025779506,0.006219539807803177,FIDIC 13.8,True,False,road
2022-11-01,0.013938644962693215,0.01855792917774424,0.013899855875723474,-3.878908696974214e-05,-0.0046580733020207665,-0.07690882197225879,0.006180750720833435,FIDIC 13.8,True,False,road
2020-12-01,0.04978706836786394,0.055561697663527386,0.04978706836786394,0.0,-0.0057746292956634485,-0.5665777583072273,0.0,DAM,False,False,road
2021-01-01,0.013938644962693062,0.01557158520078666,0.013938644962693062,0.0,-0.001632940238093598,-0.09099366624458358,0.0,DAM,False,False,road
2021-02-01,0.017523916760467207,0.01964371828853303,0.017523916760467207,0.0,-0.0021198015280658213,-0.19490452361888105,0.0,DAM,False,False,road
2021-03-01,0.021839018090322238,0.024551343675460753,0.021839018090322238,0.0,-0.0027123255851385156,-0.5684711259200619,0.0,DAM,False,False,road
2021-04-01,0.026921148375413363,0.030352295184682517,0.027136517562416668,0.00021536918700330691,-0.0032157776222658495,-1.1629186746394269,0.00021536918700330691,DAM,True,True,road
2021-05-01,0.03274285992952837,0.0369597328056702,0.03274285992952837,0.0,-0.004216872876141829,-1.0270971111415526,0.00021536918700330691,DAM,False,False,road
2021-06-01,0.039178706729238524,0.044278419912201716,0.039178706729238524,0.0,-0.005099713182963192,-1.0234795015896792,0.00021536918700330691,DAM,False,False,road
2021-07-01,0.045974185632400875,0.05305567695155623,0.045974185632400875,0.0,-0.007081491319155357,-0.17507464997800753,0.00021536918700330691,DAM,False,False,road
2021-08-01,0.052729796312171055,0.060904678354607444,0.052729796312171055,0.0,-0.008174882042436389,-0.19241635420053954,0.00021536918700330691,DAM,False,False,road
2021-09-01,0.0589165350490694,0.06827064509141402,0.0589165350490694,0.0,-0.00935411004234462,-0.16462069989965356,0.00021536918700330691,DAM,False,False,road
2021-10-01,0.06393573469896427,0.07365585770457511,0.06393573469896427,0.0,-0.009720123005610842,0.5228340253777541,0.00021536918700330691,DAM,False,False,road
2021-11-01,0.06722218318122622,0.07831616032421564,0.06722218318122622,0.0,-0.011093977142989417,-0.41469653089788716,0.00021536918700330691,DAM,False,False,road
2021-12-01,0.0683674721891467,0.07983349474404296,0.0683674721891467,0.0,-0.01146602255489626,-0.21193500337216453,0.00021536918700330691,DAM,False,False,road
2022-01-01,0.06722218318122633,0.07975678135769146,0.06722218318122633,0.0,-0.012534598176465128,-0.4588434300588735,0.00021536918700330691,DAM,False,False,road
2022-02-01,0.06393573469896403,0.07674023015211162,0.06393573469896403,0.0,-0.012804495453147588,0.11903503754810331,0.00021536918700330691,DAM,False,False,road
