trigger,gamma_up,gamma_down,cap_up,cap_down,objective,feasible,mean_ratio_fixed,mean_ratio_fidic,max_ratio_fixed,min_improvement_fixed,mean_events,max_events,max_exposure,dom_fidic_count
1.1,0.09,0.05,0.025,0.01,0.9996337961424802,1,0.9337536376681422,1.063743290233063,1.041787302907348,-0.04178730290734789,1.6666666666666667,2,0.0024050329525597105,0
1.1,0.09,0.05,0.025,0.012,0.9996337961424802,1,0.9337536376681422,1.063743290233063,1.041787302907348,-0.04178730290734789,1.6666666666666667,2,0.0024050329525597105,0
1.1,0.09,0.05,0.025,0.015,0.9996337961424802,1,0.9337536376681422,1.063743290233063,1.041787302907348,-0.04178730290734789,1.6666666666666667,2,0.0024050329525597105,0
1.15,0.09,0.015,0.025,0.008,1.0008217369927321,1,0.9380152609615101,1.0688281088254252,1.030897073692313,-0.030897073692313093,1.6666666666666667,2,0.001978585845904961,0
1.15,0.09,0.015,0.025,0.01,1.0008217369927321,1,0.9380152609615101,1.0688281088254252,1.030897073692313,-0.030897073692313093,1.6666666666666667,2,0.001978585845904961,0
1.15,0.09,0.015,0.025,0.012,1.0008217369927321,1,0.9380152609615101,1.0688281088254252,1.030897073692313,-0.030897073692313093,1.6666666666666667,2,0.001978585845904961,0
1.15,0.09,0.015,0.025,0.015,1.0008217369927321,1,0.9380152609615101,1.0688281088254252,1.030897073692313,-0.030897073692313093,1.6666666666666667,2,0.001978585845904961,0
1.15,0.09,0.02,0.025,0.008,1.0008217369927321,1,0.9380152609615101,1.0688281088254252,1.030897073692313,-0.030897073692313093,1.6666666666666667,2,0.001978585845904961,0
1.15,0.09,0.02,0.025,0.01,1.0008217369927321,1,0.9380152609615101,1.0688281088254252,1.030897073692313,-0.030897073692313093,1.6666666666666667,2,0.001978585845904961,0
1.15,0.09,0.02,0.025,0.012,1.0008217369927321,1,0.9380152609615101,1.0688281088254252,1.030897073692313,-0.030897073692313093,1.6666666666666667,2,0.001978585845904961,0
1.15,0.09,0.02,0.025,0.015,1.0008217369927321,1,0.9380152609615101,1.0688281088254252,1.030897073692313,-0.030897073692313093,1.6666666666666667,2,0.001978585845904961,0
1.15,0.09,0.025,0.025,0.008,1.0008217369927321,1,0.9380152609615101,1.0688281088254252,1.030897073692313,-0.030897073692313093,1.6666666666666667,2,0.001978585845904961,0
1.15,0.09,0.025,0.025,0.01,1.0008217369927321,1,0.9380152609615101,1.0688281088254252,1.030897073692313,-0.030897073692313093,1.6666666666666667,2,0.001978585845904961,0
1.15,0.09,0.025,0.025,0.012,1.0008217369927321,1,0.9380152609615101,1.0688281088254252,1.030897073692313,-0.030897073692313093,1.6666666666666667,2,0.001978585845904961,0
1.15,0.09,0.025,0.025,0.015,1.0008217369927321,1,0.9380152609615101,1.0688281088254252,1.030897073692313,-0.030897073692313093,1.6666666666666667,2,0.001978585845904961,0
1.15,0.09,0.03,0.025,0.008,1.0008217369927321,1,0.9380152609615101,1.0688281088254252,1.030897073692313,-0.030897073692313093,1.6666666666666667,2,0.001978585845904961,0
1.15,0.09,0.03,0.025,0.01,1.0008217369927321,1,0.9380152609615101,1.0688281088254252,1.030897073692313,-0.030897073692313093,1.6666666666666667,2,0.001978585845904961,0
1.15,0.09,0.03,0.025,0.012,1.0008217369927321,1,0.9380152609615101,1.0688281088254252,1.030897073692313,-0.030897073692313093,1.6666666666666667,2,0.001978585845904961,0
1.15,0.09,0.03,0.025,0.015,1.0008217369927321,1,0.9380152609615101,1.0688281088254252,1.030897073692313,-0.030897073692313093,1.6666666666666667,2,0.001978585845904961,0
1.15,0.09,0.035,0.025,0.008,1.0008217369927321,1,0.9380152609615101,1.0688281088254252,1.030897073692313,-0.030897073692313093,1.6666666666666667,2,0.001978585845904961,0
