project,regime,margin_variance,budget_variance,adjustment_count,cap_hit_count,worst_margin,max_employer_exposure,sim_id
road,DAM,5.516774573057938e-07,0.00034543451552200983,5,0,-0.002316025940869715,0.02965781458580222,32
road,Fixed-price,7.368133007760423e-06,0.00033542034092931295,0,0,-0.008145461616697575,0.0,33
road,FIDIC 13.8,1.17890128124167e-06,0.0003757867943732988,23,0,-0.003258184646679027,0.05383318639511652,33
road,DAM,1.4058939643582495e-06,0.00037251567145698476,6,0,-0.003786341334585344,0.049682025942282056,33
road,Fixed-price,5.353799480022849e-06,0.00033542034092931295,0,0,-0.007454234731517725,0.0,34
road,FIDIC 13.8,8.566079168036555e-07,0.00037164693052934135,23,0,-0.002981693892607093,0.060950775658869034,34
road,DAM,9.325939656359119e-07,0.00037146267593759575,6,0,-0.0031804416325429408,0.05605079155761695,34
road,Fixed-price,9.983426681774101e-06,0.00033542034092931295,0,0,-0.009449397018936281,0.0,35
road,FIDIC 13.8,1.597348269083854e-06,0.00038573257117149846,23,0,-0.0037797588075745153,0.06893643091227294,35
road,DAM,1.9192477002777713e-06,0.00038377368394265426,5,0,-0.004579133659393511,0.06302984845990885,35
road,Fixed-price,6.976386185510365e-06,0.00033542034092931295,0,0,-0.007885263021372463,0.0,36
road,FIDIC 13.8,1.1162217896816582e-06,0.00037197704226957316,23,0,-0.003154105208548988,0.045986725398399646,36
road,DAM,1.2548298500499581e-06,0.00036876992859446116,4,0,-0.00359219815868822,0.04122124099852774,36
road,Fixed-price,6.980160222684957e-06,0.00033542034092931295,0,0,-0.007246792228626148,0.0,37
road,FIDIC 13.8,1.1168256356295964e-06,0.00036648684532079173,23,0,-0.0028987168914504646,0.04737306219981726,37
road,DAM,1.2838025162375221e-06,0.00036222266939754227,4,0,-0.0033400839995935405,0.04281338998531735,37
road,Fixed-price,1.3897690296609715e-05,0.00033542034092931295,0,0,-0.012511901994121999,0.0,38
road,FIDIC 13.8,2.223630447457556e-06,0.0004037985305142221,23,0,-0.005004760797648805,0.0925052858140475,38
road,DAM,2.395122416301826e-06,0.00040998482161921056,5,0,-0.005047110411039155,0.08449865457449676,38
road,Fixed-price,2.6064190692039835e-06,0.00033542034092931295,0,0,-0.00507322560199025,0.0,39
road,FIDIC 13.8,4.170270510726369e-07,0.00035776506679705233,23,0,-0.0020292902407961083,0.040314185263855246,39
road,DAM,6.305305828354007e-07,0.0003513781266848231,4,0,-0.0027096098913769323,0.03348239567298417,39
road,Fixed-price,8.478394290791448e-06,0.00033542034092931295,0,0,-0.008189758271804862,0.0,40
road,FIDIC 13.8,1.3565430865266335e-06,0.00037663844280100105,23,0,-0.0032759033087219475,0.057955906890810906,40
road,DAM,1.562491492560365e-06,0.0003745312151111682,6,1,-0.004057046006566339,0.05250323803336443,40
road,Fixed-price,2.8347695596306674e-06,0.00033542034092931295,0,0,-0.0056335175921188585,0.0,41
road,FIDIC 13.8,4.535631295409069e-07,0.00035998804410549014,23,0,-0.002253407036847538,0.039009421958146294,41
road,DAM,8.203272226474198e-07,0.0003537748696688054,3,0,-0.0026941499253588103,0.035307062275210375,41
road,Fixed-price,1.0345151330607644e-05,0.00033542034092931295,0,0,-0.010422277951546141,0.0,42
road,FIDIC 13.8,1.6552242128972254e-06,0.0003949719481536984,23,0,-0.004168911180618462,0.0815933227873749,42
road,DAM,1.948699884186627e-06,0.0003930889247357082,5,0,-0.004563020817966265,0.0758132136530601,42
road,Fixed-price,6.7226239748618795e-06,0.00033542034092931295,0,0,-0.008089884645562942,0.0,43
road,FIDIC 13.8,1.075619835977898e-06,0.00038004125041392914,23,0,-0.0032359538582251712,0.05829857027992805,43
road,DAM,1.4941455359882212e-06,0.0003732906969268962,5,0,-0.0037614546652144504,0.0504634632182325,43
road,Fixed-price,1.726808004864513e-05,0.00033542034092931295,0,0,-0.013034249462748504,0.0,44
road,FIDIC 13.8,2.762892807783221e-06,0.00040638157875741145,23,0,-0.005213699785099404,0.10072026349988267,44
road,DAM,3.7599360656356746e-06,0.000410545870964081,5,0,-0.005974577822587937,0.08618659882808793,44
road,Fixed-price,1.7616256218556136e-05,0.00033542034092931295,0,0,-0.01325411850920065,0.0,45
road,FIDIC 13.8,2.818600994968981e-06,0.0004039472157542031,23,0,-0.0053016474036802624,0.08435075395795473,45
road,DAM,3.346320297560372e-06,0.0004043474735474081,4,0,-0.0058343738212168345,0.07463334354198478,45
road,Fixed-price,1.8737482521915833e-06,0.00033542034092931295,0,0,-0.004320458999088311,0.0,46
road,FIDIC 13.8,2.99799720350654e-07,0.0003576518061443027,23,0,-0.0017281835996353287,0.03451200007731697,46
road,DAM,4.1101072277973485e-07,0.00035514696838364707,3,0,-0.0023977655486436267,0.030687890692218913,46
road,Fixed-price,1.8992041483744425e-05,0.00033542034092931295,0,0,-0.012651462390374582,0.0,47
road,FIDIC 13.8,3.038726637399111e-06,0.00039924013664911843,23,0,-0.005060584956149833,0.08697787876307955,47
road,DAM,3.95258536311153e-06,0.0004050751565333434,5,0,-0.005837405633722599,0.07325667264634485,47
road,Fixed-price,1.1408114695557713e-05,0.00033542034092931295,0,0,-0.010036354348295418,0.0,48
road,FIDIC 13.8,1.825298351289236e-06,0.00039531540969908367,23,0,-0.004014541739318173,0.07511374642659419,48
road,DAM,2.199956121676214e-06,0.00039241348445289304,5,0,-0.004690829058669729,0.06856516962610171,48
road,Fixed-price,1.8817505144431238e-05,0.00033542034092931295,0,0,-0.013318135534137354,0.0,49
road,FIDIC 13.8,3.0108008231089993e-06,0.0004009587335924612,23,0,-0.0053272542136549444,0.0943763066307738,49
road,DAM,4.604890303306612e-06,0.0004064332668546498,5,0,-0.006550801531497903,0.07796578538433324,49
road,Fixed-price,1.0599567650778933e-05,0.00033542034092931295,0,0,-0.009458734443865392,0.0,50
road,FIDIC 13.8,1.6959308241246328e-06,0.0003799267209635853,23,0,-0.0037834937775461583,0.0675267989967078,50
road,DAM,1.9438157883571383e-06,0.0003865504899907711,5,0,-0.004347363633719861,0.06213323835263523,50
road,Fixed-price,1.0468553649832559e-05,0.00033542034092931295,0,0,-0.010660392263053348,0.0,51
road,FIDIC 13.8,1.6749685839732096e-06,0.0003912386694758527,23,0,-0.004264156905221347,0.0853847499715125,51
road,DAM,2.143267611347364e-06,0.0003923999843426836,5,0,-0.004857823996342783,0.0758038836214571,51
road,Fixed-price,4.847191642106842e-06,0.00033542034092931295,0,0,-0.006583810217154859,0.0,52
road,FIDIC 13.8,7.755506627370969e-07,0.00036991576033640626,23,0,-0.0026335240868619464,0.04969236266888738,52
road,DAM,8.426821925304566e-07,0.00037001609422510935,6,0,-0.002970776038326753,0.04721738755765196,52
road,Fixed-price,4.73666268658051e-06,0.00033542034092931295,0,0,-0.006666962588112599,0.0,53
road,FIDIC 13.8,7.578660298528807e-07,0.00036321352020972044,23,0,-0.002666785035245041,0.04222612476980836,53
road,DAM,8.629309654661415e-07,0.0003602052371871425,4,0,-0.0030568333101689688,0.03629608257162008,53
road,Fixed-price,1.2312191316358751e-05,0.00033542034092931295,0,0,-0.00938255315748221,0.0,54
road,FIDIC 13.8,1.9699506106174014e-06,0.00039270663609546655,23,0,-0.0037530212629928866,0.07389971168769272,54
road,DAM,2.4124789621071818e-06,0.0003921757682041299,6,0,-0.004628638058100001,0.06743725807207812,54
road,Fixed-price,5.931082970189873e-06,0.00033542034092931295,0,0,-0.007499061185853945,0.0,55
road,FIDIC 13.8,9.489732752303789e-07,0.0003743574335583971,23,0,-0.0029996244743415723,0.054610679546233255,55
road,DAM,1.1065907438647814e-06,0.0003713527326495856,6,1,-0.00333352670964749,0.048813572549603716,55
